"_id","player_id","first_name","last_name","birth_date","turned_pro","weight","height","flag_code","birth_city","birth_country","residence_city","residence_country","handedness","back_hand","flashscore_id","flashscore_url"
"5f753aac3c2a5545dffa67d5","m383","T.J.","Middleton","1968-05-02","1990.0","175.0","183.0","USA","Auburn","NY","Atlanta","GA","Right-Handed","Unknown Backhand","middleton-t-j","QVBVGAAk"
"5f753aac3c2a5545dffa67ee","le01","Duckhee","Lee","1998-05-29","2013.0","165.0","175.0","KOR","Jecheon","South Korea","Jecheon","South Korea","Right-Handed","Two-Handed Backhand","lee-duck-hee","jXtRZ7Uf"
"5f753aac3c2a5545dffa67f9","o483","Christopher","O'Connell","1994-06-03","2011.0","172.0","183.0","AUS","Sydney","Australia","Sydney","Australia","Right-Handed","One-Handed Backhand","o-connell-christopher","SptFeDiE"
"5f753aac3c2a5545dffa682b","w426","Yu","Wang","1984-05-19","","","","CHN","","","","","","","-1","-1"
"5f753aac3c2a5545dffa682c","mc18","Denis","Matsukevich","1986-03-28","","177.0","191.0","RUS","","","","","Right-Handed","Unknown Backhand","matsukevitch-denis","YgMEChM8"
"5f753aac3c2a5545dffa6832","d908","Philipp","Davydenko","1992-09-02","","178.0","183.0","RUS","Volgograd","Russia","Bedburg","Germany","Right-Handed","One-Handed Backhand","davydenko-philip","OWxK7SxD"
"5f753aac3c2a5545dffa683b","g493","Catalin-Ionut","Gard","1981-07-10","","","","ROU","","","","","Right-Handed","One-Handed Backhand","gard-catalin","rTVo8l2J"
"5f753aac3c2a5545dffa683f","n0a0","Dac Thien","Nguyen","1999-01-06","","","","VIE","","","","","Right-Handed","Two-Handed Backhand","nguyen-dac-tien","pjWxIDnA"
"5f753aac3c2a5545dffa6843","f0ba","Alexander","Fairbanks","1996-02-12","","","","SRI","","","","","","","fairbanks-alex","bPKV8TN3"
"5f753ab43c2a5545dffa68a8","b053","Arnaud","Boetsch","1969-04-01","1987.0","168.0","183.0","FRA","Meulan","France","Geneva","Switzerland","","","-1","-1"
"5f753ab43c2a5545dffa69c7","d211","John-Laffnie","de Jager","1973-03-17","1992.0","180.0","193.0","RSA","Johannesburg","South Africa","Ermelo Transvaal","South Africa","","","de-jager-john-laffine","vuargur7"
"5f753ab43c2a5545dffa69d2","d272","Antony","Dupuis","1973-02-24","1992.0","192.0","185.0","FRA","Bayonne","France","Villeneuve Le Comte","France","","","dupuis-anthony","n1zwVDDq"
"5f753ab43c2a5545dffa69de","d361","Massimo","Dell'Acqua","1979-09-06","1999.0","190.0","193.0","ITA","Como","Italy","Terni","Italy","","","dell-acqua-massimo","I5UfYR4I"
"5f753ab43c2a5545dffa6a11","e007","Constantinos","Efremoglou","1962-06-06","","163.0","188.0","GRE","Athens","Greece","","","","","effraimoglou-konstantinos","W4IBPVP2"
"5f753ab43c2a5545dffa6aaa","g426","Konstantin Don","Gruber","1979-10-27","1999.0","165.0","183.0","AUT","Vienna","Austria","Vienna","Austria","","","gruber-konstantin","nRGYwF5U"
"5f753ab43c2a5545dffa6ab5","g531","Mohammad","Ghareeb","1980-07-22","","","","KUW","","","","","","","al-ghareeb-mohammed","23T6Nxrd"
"5f753ab43c2a5545dffa6abd","g681","Teymuraz","Gabashvili","1985-05-23","2001.0","182.0","188.0","RUS","Tbilisi","Georgia","Moscow","Russia","Right-Handed","Two-Handed Backhand","gabashvili-teimuraz","MTJwZBpd"
"5f753ab43c2a5545dffa6ac5","g820","Xin","Gao","1994-05-12","","176.0","180.0","CHN","","","","","Right-Handed","Two-Handed Backhand","gao-xin-1994","lS0TT3Li"
"5f753ab43c2a5545dffa6adf","gd64","Christian","Garin","1996-05-30","2013.0","187.0","185.0","CHI","Santiago","Chile","Mallorca","Spain","Right-Handed","Two-Handed Backhand","garin-cristian","U73k5I15"
"5f753ab43c2a5545dffa6b09","h382","Mathias","Hellstrom","1978-02-21","","","","SWE","","","","","","","hellstrom-mattias","lnxAsc6o"
"5f753ab43c2a5545dffa6b15","h472","Oscar","Hernandez","1978-04-10","1998.0","154.0","180.0","ESP","Barcelona","Spain","Barcelona","Spain","Right-Handed","One-Handed Backhand","hernandez-perez-oscar","G4KkpN0J"
"5f753ab43c2a5545dffa6b16","h469","KJ","Hippensteel","1980-05-08","2002.0","195.0","191.0","USA","Roanoke","USA","Roanoke","USA","","","hippensteel-k-j","4CajIhZO"
"5f753ab43c2a5545dffa6b6e","k030","Patrik","Kuhnen","1966-02-11","1985.0","180.0","191.0","GER","Puttlingen","Germany","","","","","kuhnen-patrick","8Acp6oHH"
"5f753ab43c2a5545dffa6bbe","k777","Evgeny","Kirillov","1987-07-14","","","","RUS","","","","","","","kirillov-evgeni","ObBowqz5"
"5f753ab43c2a5545dffa6bef","l202","German","Lopez","1971-12-29","1990.0","176.0","193.0","ESP","Barcelona","Spain","Barcelona","Spain","","","lopez-montoya-german","MLcb0DVO"
