name,id,formatted_name
Sydney Outdoor,338,sydney
Stuttgart Indoor,357,stuttgart
Indian Wells Masters,404,indian-wells
Miami Masters,403,miami
Tokyo Outdoor,329,tokyo
Monte Carlo Masters,410,monte-carlo
Hamburg Masters,414,hamburg
Rome Masters,416,rome
Queen's Club,311,london
Genova,479,genova
Stuttgart Outdoor,321,stuttgart
Canada Masters,421,toronto
Cincinnati Masters,422,new-york
Sydney Indoor,427,sydney
Tokyo Indoor,329,tokyo
Stockholm Masters,429,stockholm
Paris Masters,352,paris
Tour Finals,605,nitto-atp-finals
London,408,london
Kuala Lumpur-1,742,kuala-lumpur
Kuala Lumpur-2,742,kuala-lumpur
St. Poelten,306,st-polten
Oporto,386,porto
Essen Masters,2054,essen
Stuttgart Masters,321,stuttgart
Split,7301,split
Mallorca,8994,mallorca
St Petersburg,568,st-petersburg
Merano,789,merano
Masters Cup,605,nitto-atp-finals
Vina del Mar,505,vina-del-mar
Costa Do Sauipe,533,sao-paulo
Madrid Masters,1536,madrid
Poertschach,65,portschach
s-Hertogenbosch,440,s-hertogenbosch
Shanghai Masters,5014,shanghai
Viña del Mar,505,vina-del-mar
Davis Cup,0,davis-cup
Rio De Janeiro,6932,rio-de-janeiro
ATP Next Gen Finals,7696,next-gen-atp-finals
Atp Cup,8888,atp-cup
Ostrava,1797,ostrava
Bologna,312,bologna
Coral Springs,499,delray-beach
Philadelphia,401,philadelphia
